ISO3_code,Time,AgeGrp,AgeGrpStart,PopMale,PopFemale,PopTotal
EGY,2023,0-4,0,6036.477,5744.965,11781.442
EGY,2023,5-9,5,6790.369,6485.712,13276.082
EGY,2023,10-14,10,6192.023,5900.267,12092.29
EGY,2023,15-19,15,5351.153,5130.41,10481.564
EGY,2023,20-24,20,4897.926,4687.422,9585.347
EGY,2023,25-29,25,4489.24,4286.192,8775.432
EGY,2023,30-34,30,4409.701,4245.1,8654.801
EGY,2023,35-39,35,4156.092,4064.313,8220.405
EGY,2023,40-44,40,3598.355,3501.534,7099.889
EGY,2023,45-49,45,3054.415,2946.92,6001.335
EGY,2023,50-54,50,2583.168,2499.403,5082.57
EGY,2023,55-59,55,2145.794,2156.735,4302.529
EGY,2023,60-64,60,1680.418,1809.601,3490.019
EGY,2023,65-69,65,1186.095,1407.056,2593.151
EGY,2023,70-74,70,718.051,951.16,1669.211
EGY,2023,75-79,75,361.255,550.063,911.317
EGY,2023,80-84,80,129.094,229.252,358.346
EGY,2023,85-89,85,42.235,87.947,130.181
EGY,2023,90-94,90,7.986,19.137,27.123
EGY,2023,95-99,95,0.713,1.909,2.622
EGY,2023,100+,100,0.029,0.087,0.115
EGY,2033,0-4,0,6441.151,6114.413,12555.564
EGY,2033,5-9,5,6181.887,5875.242,12057.129
EGY,2033,10-14,10,6010.016,5725.586,11735.602
EGY,2033,15-19,15,6752.025,6462.796,13214.82
EGY,2033,20-24,20,6097.088,5838.306,11935.394
EGY,2033,25-29,25,5260.533,5075.476,10336.008
EGY,2033,30-34,30,4871.636,4684.648,9556.284
EGY,2033,35-39,35,4476.766,4293.15,8769.916
EGY,2033,40-44,40,4369.368,4229.787,8599.155
EGY,2033,45-49,45,4074.834,4020.519,8095.353
EGY,2033,50-54,50,3451.899,3420.791,6872.69
EGY,2033,55-59,55,2807.711,2811.814,5619.525
EGY,2033,60-64,60,2223.091,2294.757,4517.849
EGY,2033,65-69,65,1676.006,1863.464,3539.47
EGY,2033,70-74,70,1133.038,1413.111,2546.149
EGY,2033,75-79,75,634.285,913.904,1548.189
EGY,2033,80-84,80,266.971,447.44,714.41
EGY,2033,85-89,85,76.955,151.67,228.625
EGY,2033,90-94,90,11.723,27.116,38.839
EGY,2033,95-99,95,1.217,3.187,4.404
EGY,2033,100+,100,0.058,0.17,0.228
EGY,2043,0-4,0,6975.609,6616.184,13591.792
EGY,2043,5-9,5,6759.599,6417.437,13177.036
EGY,2043,10-14,10,6410.859,6092.412,12503.271
EGY,2043,15-19,15,6145.409,5852.024,11997.433
EGY,2043,20-24,20,5911.223,5657.632,11568.855
EGY,2043,25-29,25,6635.786,6386.413,13022.199
EGY,2043,30-34,30,6045.044,5812.386,11857.43
EGY,2043,35-39,35,5232.074,5066.802,10298.876
EGY,2043,40-44,40,4823.053,4660.945,9483.999
EGY,2043,45-49,45,4393.106,4247.546,8640.652
EGY,2043,50-54,50,4206.289,4140.98,8347.27
EGY,2043,55-59,55,3781.849,3861.05,7642.9
EGY,2043,60-64,60,3027.824,3184.278,6212.102
EGY,2043,65-69,65,2264.574,2490.09,4754.663
EGY,2043,70-74,70,1574.329,1865.159,3439.488
EGY,2043,75-79,75,963.65,1291.535,2255.186
EGY,2043,80-84,80,466.656,735.608,1202.264
EGY,2043,85-89,85,153.769,291.885,445.654
EGY,2043,90-94,90,29.155,66.65,95.805
EGY,2043,95-99,95,2.819,7.526,10.345
EGY,2043,100+,100,0.107,0.329,0.436
EGY,2053,0-4,0,6563.211,6221.077,12784.287
EGY,2053,5-9,5,6772.417,6424.936,13197.353
EGY,2053,10-14,10,6948.06,6596.167,13544.227
EGY,2053,15-19,15,6724.14,6394.319,13118.459
EGY,2053,20-24,20,6309.466,6020.833,12330.299
EGY,2053,25-29,25,6033.114,5774.216,11807.33
EGY,2053,30-34,30,5867.238,5634.931,11502.169
EGY,2053,35-39,35,6604.827,6376.679,12981.506
EGY,2053,40-44,40,5993.324,5786.913,11780.236
EGY,2053,45-49,45,5147.889,5020.394,10168.282
EGY,2053,50-54,50,4668.274,4577.658,9245.931
EGY,2053,55-59,55,4120.753,4104.955,8225.709
EGY,2053,60-64,60,3757.059,3898.518,7655.577
EGY,2053,65-69,65,3143.271,3487.516,6630.787
EGY,2053,70-74,70,2247.415,2675.349,4922.764
EGY,2053,75-79,75,1396.916,1824.704,3221.619
EGY,2053,80-84,80,715.411,1060.376,1775.786
EGY,2053,85-89,85,266.894,471.478,738.372
EGY,2053,90-94,90,60.414,132.257,192.672
EGY,2053,95-99,95,6.792,18.38,25.172
EGY,2053,100+,100,0.33,1.095,1.425
ZAF,2023,0-4,0,2960.034,2927.742,5887.775
ZAF,2023,5-9,5,2628.578,2613.947,5242.525
ZAF,2023,10-14,10,2689.238,2669.347,5358.586
ZAF,2023,15-19,15,2634.461,2598.336,5232.798
ZAF,2023,20-24,20,2607.07,2544.928,5151.999
ZAF,2023,25-29,25,2798.619,2838.331,5636.95
ZAF,2023,30-34,30,2828.445,2879.923,5708.367
ZAF,2023,35-39,35,2651.468,2681.561,5333.029
ZAF,2023,40-44,40,2242.173,2246.865,4489.038
ZAF,2023,45-49,45,1692.793,1768.854,3461.647
ZAF,2023,50-54,50,1360.994,1541.742,2902.735
ZAF,2023,55-59,55,1115.576,1384.928,2500.504
ZAF,2023,60-64,60,953.909,1234.175,2188.084
ZAF,2023,65-69,65,706.79,961.723,1668.513
ZAF,2023,70-74,70,448.005,669.955,1117.96
ZAF,2023,75-79,75,213.691,381.556,595.247
ZAF,2023,80-84,80,119.617,262.051,381.668
ZAF,2023,85-89,85,60.761,158.141,218.903
ZAF,2023,90-94,90,28.765,74.431,103.196
ZAF,2023,95-99,95,7.798,19.512,27.31
ZAF,2023,100+,100,1.69,3.858,5.548
ZAF,2033,0-4,0,2860.807,2776.642,5637.45
ZAF,2033,5-9,5,2929.626,2854.432,5784.058
ZAF,2033,10-14,10,2973.686,2961.04,5934.726
ZAF,2033,15-19,15,2669.628,2667.867,5337.495
ZAF,2033,20-24,20,2874.349,2867.53,5741.879
ZAF,2033,25-29,25,2809.059,2812.461,5621.52
ZAF,2033,30-34,30,2550.765,2560.182,5110.948
ZAF,2033,35-39,35,2616.837,2733.227,5350.064
ZAF,2033,40-44,40,2609.521,2738.615,5348.136
ZAF,2033,45-49,45,2403.899,2522.394,4926.294
ZAF,2033,50-54,50,1975.469,2087.774,4063.244
ZAF,2033,55-59,55,1429.164,1612.729,3041.894
ZAF,2033,60-64,60,1082.941,1361.643,2444.584
ZAF,2033,65-69,65,817.383,1164.712,1982.095
ZAF,2033,70-74,70,627.358,963.346,1590.705
ZAF,2033,75-79,75,403.993,670.62,1074.613
ZAF,2033,80-84,80,214.084,396.539,610.624
ZAF,2033,85-89,85,81.925,179.963,261.888
ZAF,2033,90-94,90,33.219,87.944,121.162
ZAF,2033,95-99,95,11.069,32.789,43.858
ZAF,2033,100+,100,3.392,9.852,13.244
ZAF,2043,0-4,0,2844.028,2761.614,5605.642
ZAF,2043,5-9,5,2834.628,2766.128,5600.756
ZAF,2043,10-14,10,2883.593,2821.213,5704.806
ZAF,2043,15-19,15,2976.841,2916.568,5893.409
ZAF,2043,20-24,20,3179.313,3181.124,6360.436
ZAF,2043,25-29,25,2878.809,2919.188,5797.997
ZAF,2043,30-34,30,2826.151,2901.115,5727.266
ZAF,2043,35-39,35,2626.462,2716.64,5343.102
ZAF,2043,40-44,40,2354.41,2443.02,4797.43
ZAF,2043,45-49,45,2382.258,2584.809,4967.066
ZAF,2043,50-54,50,2313.085,2559.676,4872.761
ZAF,2043,55-59,55,2043.955,2313.267,4357.221
ZAF,2043,60-64,60,1586.207,1857.986,3444.193
ZAF,2043,65-69,65,1060.045,1370.418,2430.464
ZAF,2043,70-74,70,723.121,1076.38,1799.502
ZAF,2043,75-79,75,474.632,823.412,1298.044
ZAF,2043,80-84,80,305.231,580.128,885.36
ZAF,2043,85-89,85,158.38,323.983,482.363
ZAF,2043,90-94,90,62.207,139.191,201.399
ZAF,2043,95-99,95,15.793,39.274,55.067
ZAF,2043,100+,100,4.276,12.953,17.228
ZAF,2053,0-4,0,2887.302,2802.155,5689.457
ZAF,2053,5-9,5,2913.229,2842.43,5755.659
ZAF,2053,10-14,10,2875.762,2815.485,5691.247
ZAF,2053,15-19,15,2891.211,2837.264,5728.475
ZAF,2053,20-24,20,3115.858,3066.142,6181.999
ZAF,2053,25-29,25,3214.312,3197.617,6411.93
ZAF,2053,30-34,30,3144.791,3231.452,6376.243
ZAF,2053,35-39,35,2708.472,2835.89,5544.363
ZAF,2053,40-44,40,2630.001,2786.954,5416.956
ZAF,2053,45-49,45,2410.82,2587.403,4998.222
ZAF,2053,50-54,50,2104.939,2300.199,4405.137
ZAF,2053,55-59,55,2045.897,2388.023,4433.919
ZAF,2053,60-64,60,1877.338,2294.738,4172.075
ZAF,2053,65-69,65,1533.941,1981.545,3515.486
ZAF,2053,70-74,70,1075.789,1486.725,2562.514
ZAF,2053,75-79,75,629.09,986.702,1615.792
ZAF,2053,80-84,80,360.832,662.604,1023.437
ZAF,2053,85-89,85,190.961,408.062,599.023
ZAF,2053,90-94,90,90.963,209.864,300.827
ZAF,2053,95-99,95,31.532,73.711,105.243
ZAF,2053,100+,100,8.133,20.89,29.023
NGA,2023,0-4,0,16969.739,16556.886,33526.624
NGA,2023,5-9,5,16105.703,15665.981,31771.684
NGA,2023,10-14,10,14878.846,14376.558,29255.405
NGA,2023,15-19,15,12883.974,12408.766,25292.74
NGA,2023,20-24,20,10698.259,10318.032,21016.291
NGA,2023,25-29,25,8774.685,8485.133,17259.819
NGA,2023,30-34,30,7358.851,7146.989,14505.841
NGA,2023,35-39,35,6310.333,6162.859,12473.192
NGA,2023,40-44,40,5490.497,5365.612,10856.109
NGA,2023,45-49,45,4459.762,4388.858,8848.62
NGA,2023,50-54,50,3399.899,3397.045,6796.944
NGA,2023,55-59,55,2617.176,2675.633,5292.809
NGA,2023,60-64,60,1986.091,2100.11,4086.201
NGA,2023,65-69,65,1431.819,1559.296,2991.115
NGA,2023,70-74,70,929.048,1040.626,1969.674
NGA,2023,75-79,75,562.402,618.781,1181.182
NGA,2023,80-84,80,255.893,290.082,545.976
NGA,2023,85-89,85,79.047,96.544,175.591
NGA,2023,90-94,90,13.707,19.825,33.532
NGA,2023,95-99,95,1.157,2.259,3.416
NGA,2023,100+,100,0.045,0.137,0.182
NGA,2033,0-4,0,18688.306,18223.935,36912.241
NGA,2033,5-9,5,17214.98,16712.645,33927.625
NGA,2033,10-14,10,15952.22,15386.545,31338.765
NGA,2033,15-19,15,15620.312,15041.662,30661.974
NGA,2033,20-24,20,14919.846,14362.532,29282.379
NGA,2033,25-29,25,12742.683,12252.211,24994.894
NGA,2033,30-34,30,9859.701,9450.232,19309.933
NGA,2033,35-39,35,7822.958,7481.287,15304.245
NGA,2033,40-44,40,6562.845,6309.771,12872.616
NGA,2033,45-49,45,5612.593,5460.056,11072.649
NGA,2033,50-54,50,4816.399,4737.235,9553.634
NGA,2033,55-59,55,3799.169,3794.461,7593.631
NGA,2033,60-64,60,2756.084,2804.924,5561.007
NGA,2033,65-69,65,1947.053,2029.428,3976.48
NGA,2033,70-74,70,1278.338,1375.884,2654.222
NGA,2033,75-79,75,727.649,810.041,1537.69
NGA,2033,80-84,80,324.714,378.517,703.231
NGA,2033,85-89,85,110.141,132.071,242.212
NGA,2033,90-94,90,21.015,29.034,50.048
NGA,2033,95-99,95,1.906,3.444,5.35
NGA,2033,100+,100,0.082,0.207,0.289
NGA,2043,0-4,0,19367.425,18885.399,38252.824
NGA,2043,5-9,5,18528.237,18017.133,36545.37
NGA,2043,10-14,10,17683.307,17094.612,34777.92
NGA,2043,15-19,15,16776.601,16156.856,32933.457
NGA,2043,20-24,20,16139.832,15527.904,31667.735
NGA,2043,25-29,25,15572.647,14989.827,30562.474
NGA,2043,30-34,30,13923.435,13353.563,27276.998
NGA,2043,35-39,35,11512.588,10980.633,22493.222
NGA,2043,40-44,40,8867.244,8431.129,17298.374
NGA,2043,45-49,45,6999.251,6675.221,13674.472
NGA,2043,50-54,50,5790.657,5608.06,11398.717
NGA,2043,55-59,55,4814.443,4759.049,9573.492
NGA,2043,60-64,60,3939.273,3954.173,7893.447
NGA,2043,65-69,65,2857.823,2918.97,5776.793
NGA,2043,70-74,70,1797.79,1870.187,3667.976
NGA,2043,75-79,75,1005.752,1076.7,2082.452
NGA,2043,80-84,80,455.344,512.891,968.236
NGA,2043,85-89,85,146.618,178.482,325.101
NGA,2043,90-94,90,27.524,39.288,66.813
NGA,2043,95-99,95,2.733,4.886,7.619
NGA,2043,100+,100,0.133,0.319,0.451
NGA,2053,0-4,0,19146.885,18669.196,37816.08
NGA,2053,5-9,5,18648.563,18149.835,36798.397
NGA,2053,10-14,10,18427.766,17855.69,36283.455
NGA,2053,15-19,15,18125.816,17518.588,35644.404
NGA,2053,20-24,20,17979.668,17355.791,35335.459
NGA,2053,25-29,25,16866.561,16248.858,33115.419
NGA,2053,30-34,30,15132.51,14517.727,29650.236
NGA,2053,35-39,35,14169.465,13563.582,27733.046
NGA,2053,40-44,40,12665.256,12091.907,24757.163
NGA,2053,45-49,45,10415.439,9936.29,20351.729
NGA,2053,50-54,50,7893.404,7572.747,15466.15
NGA,2053,55-59,55,6051.062,5871.006,11922.067
NGA,2053,60-64,60,4774.815,4727.17,9501.985
NGA,2053,65-69,65,3652.709,3703.488,7356.197
NGA,2053,70-74,70,2598.394,2678.529,5276.923
NGA,2053,75-79,75,1500.474,1584.258,3084.733
NGA,2053,80-84,80,654.063,717.053,1371.116
NGA,2053,85-89,85,207.89,244.891,452.781
NGA,2053,90-94,90,39.839,55.275,95.114
NGA,2053,95-99,95,3.856,6.969,10.825
NGA,2053,100+,100,0.184,0.459,0.643
CHN,2023,0-4,0,30646.091,27396.363,58042.454
CHN,2023,5-9,5,47316.512,41306.897,88623.409
CHN,2023,10-14,10,48098.978,41236.461,89335.439
CHN,2023,15-19,15,43987.024,37495.965,81482.989
CHN,2023,20-24,20,43049.549,36913.978,79963.527
CHN,2023,25-29,25,46384.156,40522.375,86906.531
CHN,2023,30-34,30,59064.348,53306.394,112370.742
CHN,2023,35-39,35,58654.069,54566.572,113220.641
CHN,2023,40-44,40,50550.641,48059.175,98609.815
CHN,2023,45-49,45,50268.941,48570.779,98839.72
CHN,2023,50-54,50,61804.111,60940.792,122744.903
CHN,2023,55-59,55,56769.872,57304.248,114074.12
CHN,2023,60-64,60,36622.914,38089.368,74712.281
CHN,2023,65-69,65,36332.985,40019.253,76352.238
CHN,2023,70-74,70,26900.598,31787.933,58688.531
CHN,2023,75-79,75,15178.97,18523.732,33702.702
CHN,2023,80-84,80,8477.787,11679.412,20157.198
CHN,2023,85-89,85,3949.941,6688.861,10638.801
CHN,2023,90-94,90,1047.562,2454.771,3502.334
CHN,2023,95-99,95,115.856,461.379,577.236
CHN,2023,100+,100,2.384,36.937,39.321
CHN,2033,0-4,0,21519.854,20011.372,41531.226
CHN,2033,5-9,5,22420.714,20456.459,42877.172
CHN,2033,10-14,10,30484.886,27233.571,57718.457
CHN,2033,15-19,15,47036.959,41066.328,88103.288
CHN,2033,20-24,20,47343.739,40511.963,87855.702
CHN,2033,25-29,25,43140.171,36684.421,79824.593
CHN,2033,30-34,30,42696.842,36668.202,79365.044
CHN,2033,35-39,35,46148.11,40463.475,86611.585
CHN,2033,40-44,40,58492.211,53056.361,111548.573
CHN,2033,45-49,45,57676.639,54104.227,111780.867
CHN,2033,50-54,50,49103.334,47385.099,96488.434
CHN,2033,55-59,55,47913.793,47477.293,95391.086
CHN,2033,60-64,60,57292.76,58805.058,116097.818
CHN,2033,65-69,65,50061.334,53933.221,103994.554
CHN,2033,70-74,70,30024.118,34370.259,64394.376
CHN,2033,75-79,75,26265.526,33239.094,59504.62
CHN,2033,80-84,80,15765.689,22778.667,38544.356
CHN,2033,85-89,85,6010.693,9886.564,15897.256
CHN,2033,90-94,90,1686.47,3700.015,5386.484
CHN,2033,95-99,95,237.949,848.846,1086.795
CHN,2033,100+,100,9.539,84.695,94.234
CHN,2043,0-4,0,22227.109,20898.867,43125.976
CHN,2043,5-9,5,21625.201,20250.68,41875.881
CHN,2043,10-14,10,21418.224,19891.036,41309.26
CHN,2043,15-19,15,22253.251,20282.501,42535.753
CHN,2043,20-24,20,29863.588,26590.676,56454.263
CHN,2043,25-29,25,46252.585,40285.592,86538.178
CHN,2043,30-34,30,47051.221,40288.965,87340.186
CHN,2043,35-39,35,43066.257,36722.221,79788.479
CHN,2043,40-44,40,42470.207,36608.882,79079.088
CHN,2043,45-49,45,45586.505,40217.797,85804.303
CHN,2043,50-54,50,57167.98,52438.98,109606.959
CHN,2043,55-59,55,55601.018,53119.751,108720.769
CHN,2043,60-64,60,46309.675,46028.723,92338.398
CHN,2043,65-69,65,43390.55,45148.88,88539.43
CHN,2043,70-74,70,48800.629,53883.535,102684.163
CHN,2043,75-79,75,38599.969,46158.837,84758.806
CHN,2043,80-84,80,19523.993,25959.992,45483.984
CHN,2043,85-89,85,11952.754,19098.65,31051.405
CHN,2043,90-94,90,3973.841,8324.743,12298.585
CHN,2043,95-99,95,508.685,1560.27,2068.954
CHN,2043,100+,100,23.535,164.443,187.978
CHN,2053,0-4,0,18443.742,17368.488,35812.23
CHN,2053,5-9,5,21530.04,20250.902,41780.942
CHN,2053,10-14,10,22143.64,20794.334,42937.974
CHN,2053,15-19,15,21482.673,20095.774,41578.447
CHN,2053,20-24,20,20876.699,19309.907,40186.605
CHN,2053,25-29,25,21636.524,19614.214,41250.738
CHN,2053,30-34,30,29717.169,26447.605,56164.774
CHN,2053,35-39,35,46223.599,40335.078,86558.677
CHN,2053,40-44,40,46874.838,40244.652,87119.49
CHN,2053,45-49,45,42678.079,36554.556,79232.635
CHN,2053,50-54,50,41735.849,36270.906,78006.754
CHN,2053,55-59,55,44269.941,39601.829,83871.769
CHN,2053,60-64,60,54523.323,51161.604,105684.928
CHN,2053,65-69,65,51502.499,51004.683,102507.182
CHN,2053,70-74,70,40805.173,42830.208,83635.381
CHN,2053,75-79,75,35074.215,39522.075,74596.29
CHN,2053,80-84,80,33786.267,41962.624,75748.891
CHN,2053,85-89,85,19770.681,28394.161,48164.842
CHN,2053,90-94,90,6024.289,10737.438,16761.727
CHN,2053,95-99,95,1285.325,3485.807,4771.133
CHN,2053,100+,100,83.491,474.953,558.444
JPN,2023,0-4,0,2122.562,2019.557,4142.119
JPN,2023,5-9,5,2537.648,2402.838,4940.486
JPN,2023,10-14,10,2779.633,2626.093,5405.727
JPN,2023,15-19,15,2916.809,2753.302,5670.111
JPN,2023,20-24,20,3112.454,2960.454,6072.908
JPN,2023,25-29,25,3104.387,2981.504,6085.891
JPN,2023,30-34,30,3135.96,3015.003,6150.963
JPN,2023,35-39,35,3492.253,3384.746,6876.999
JPN,2023,40-44,40,3866.647,3789.757,7656.404
JPN,2023,45-49,45,4672.375,4596.334,9268.709
JPN,2023,50-54,50,4873.843,4774.956,9648.799
JPN,2023,55-59,55,4130.99,4019.106,8150.096
JPN,2023,60-64,60,3790.116,3745.313,7535.429
JPN,2023,65-69,65,3641.615,3741.251,7382.865
JPN,2023,70-74,70,4172.907,4572.169,8745.076
JPN,2023,75-79,75,3561.905,4240.906,7802.811
JPN,2023,80-84,80,2601.843,3538.749,6140.592
JPN,2023,85-89,85,1461.592,2504.838,3966.43
JPN,2023,90-94,90,580.399,1421.895,2002.294
JPN,2023,95-99,95,127.332,478.877,606.21
JPN,2023,100+,100,16.703,103.321,120.024
JPN,2033,0-4,0,1944.564,1859.644,3804.209
JPN,2033,5-9,5,1949.521,1873.658,3823.178
JPN,2033,10-14,10,2156.874,2067.901,4224.775
JPN,2033,15-19,15,2606.72,2487.159,5093.879
JPN,2033,20-24,20,3097.932,2988.519,6086.452
JPN,2033,25-29,25,3247.789,3143.601,6391.39
JPN,2033,30-34,30,3097.912,2980.18,6078.093
JPN,2033,35-39,35,2966.452,2861.084,5827.535
JPN,2033,40-44,40,3030.756,2925.149,5955.905
JPN,2033,45-49,45,3410.149,3322.662,6732.811
JPN,2033,50-54,50,3778.412,3733.898,7512.31
JPN,2033,55-59,55,4533.477,4522.766,9056.243
JPN,2033,60-64,60,4659.454,4677.072,9336.526
JPN,2033,65-69,65,3846.052,3903.676,7749.729
JPN,2033,70-74,70,3380.14,3581.826,6961.967
JPN,2033,75-79,75,3031.391,3472.445,6503.836
JPN,2033,80-84,80,3049.869,3967.644,7017.513
JPN,2033,85-89,85,2045.225,3208.218,5253.443
JPN,2033,90-94,90,907.055,1931.428,2838.483
JPN,2033,95-99,95,224.802,718.883,943.684
JPN,2033,100+,100,28.993,151.522,180.515
JPN,2043,0-4,0,2029.573,1940.335,3969.908
JPN,2043,5-9,5,2018.566,1939.351,3957.917
JPN,2043,10-14,10,1975.991,1905.15,3881.14
JPN,2043,15-19,15,2014.832,1953.611,3968.443
JPN,2043,20-24,20,2457.017,2408.872,4865.889
JPN,2043,25-29,25,2933.345,2870.175,5803.52
JPN,2043,30-34,30,3096.586,3021.269,6117.855
JPN,2043,35-39,35,3103.287,3016.025,6119.313
JPN,2043,40-44,40,2986.923,2883.414,5870.337
JPN,2043,45-49,45,2888.173,2799.281,5687.454
JPN,2043,50-54,50,2959.985,2878.898,5838.883
JPN,2043,55-59,55,3316.994,3273.93,6590.923
JPN,2043,60-64,60,3631.207,3669.091,7300.298
JPN,2043,65-69,65,4260.225,4414.659,8674.884
JPN,2043,70-74,70,4228.312,4511.185,8739.497
JPN,2043,75-79,75,3297.402,3679.253,6976.655
JPN,2043,80-84,80,2600.038,3201.244,5801.283
JPN,2043,85-89,85,1844.229,2728.03,4572.258
JPN,2043,90-94,90,1165.431,2311.349,3476.78
JPN,2043,95-99,95,380.518,1082.61,1463.128
JPN,2043,100+,100,53.602,242.411,296.012
JPN,2053,0-4,0,1863.027,1781.847,3644.874
JPN,2053,5-9,5,2001.747,1922.711,3924.459
JPN,2053,10-14,10,2060.731,1984.855,4045.587
JPN,2053,15-19,15,2081.115,2015.733,4096.847
JPN,2053,20-24,20,2260.068,2227.343,4487.412
JPN,2053,25-29,25,2326.825,2317.417,4644.242
JPN,2053,30-34,30,2462.686,2445.202,4907.887
JPN,2053,35-39,35,2803.206,2755.153,5558.359
JPN,2053,40-44,40,2995.912,2933.72,5929.632
JPN,2053,45-49,45,3032.258,2960.637,5992.896
JPN,2053,50-54,50,2925.626,2844.231,5769.858
JPN,2053,55-59,55,2818.633,2764.414,5583.047
JPN,2053,60-64,60,2860.45,2838.59,5699.04
JPN,2053,65-69,65,3146.527,3212.425,6358.952
JPN,2053,70-74,70,3341.476,3565.422,6906.898
JPN,2053,75-79,75,3734.101,4209.047,7943.148
JPN,2053,80-84,80,3387.77,4126.113,7513.883
JPN,2053,85-89,85,2150.595,3021.909,5172.504
JPN,2053,90-94,90,1113.197,2029.122,3142.32
JPN,2053,95-99,95,374.89,992.155,1367.045
JPN,2053,100+,100,79.187,332.81,411.997
BGD,2023,0-4,0,8451.171,8053.899,16505.069
BGD,2023,5-9,5,8089.646,7586.51,15676.156
BGD,2023,10-14,10,8594.037,7854.289,16448.326
BGD,2023,15-19,15,8535.908,8609.734,17145.642
BGD,2023,20-24,20,7295.364,8600.067,15895.431
BGD,2023,25-29,25,6805.181,8238.307,15043.487
BGD,2023,30-34,30,5964.141,6821.173,12785.315
BGD,2023,35-39,35,6050.52,6759.997,12810.517
BGD,2023,40-44,40,5428.01,5433.696,10861.706
BGD,2023,45-49,45,4357.365,4346.653,8704.019
BGD,2023,50-54,50,3682.736,3767.233,7449.97
BGD,2023,55-59,55,3161.822,3049.343,6211.165
BGD,2023,60-64,60,2650.737,2441.798,5092.535
BGD,2023,65-69,65,2134.599,1965.468,4100.068
BGD,2023,70-74,70,1441.622,1531.418,2973.041
BGD,2023,75-79,75,948.699,1045.398,1994.097
BGD,2023,80-84,80,504.849,609.169,1114.018
BGD,2023,85-89,85,202.17,284.291,486.462
BGD,2023,90-94,90,52.681,93.374,146.055
BGD,2023,95-99,95,6.302,16.456,22.759
BGD,2023,100+,100,0.152,1.002,1.155
BGD,2033,0-4,0,8121.868,7763.954,15885.823
BGD,2033,5-9,5,8510.041,8141.203,16651.245
BGD,2033,10-14,10,8339.652,7958.39,16298.041
BGD,2033,15-19,15,7970.753,7491.64,15462.393
BGD,2033,20-24,20,8282.117,7623.556,15905.673
BGD,2033,25-29,25,8045.882,8252.112,16297.994
BGD,2033,30-34,30,6850.399,8276.004,15126.403
BGD,2033,35-39,35,6467.939,7989.684,14457.622
BGD,2033,40-44,40,5710.43,6625.057,12335.487
BGD,2033,45-49,45,5808.256,6563.204,12371.46
BGD,2033,50-54,50,5149.231,5231.011,10380.242
BGD,2033,55-59,55,4021.236,4120.549,8141.785
BGD,2033,60-64,60,3265.918,3501.458,6767.376
BGD,2033,65-69,65,2683.226,2731.302,5414.528
BGD,2033,70-74,70,2101.389,2056.136,4157.525
BGD,2033,75-79,75,1480.95,1502.309,2983.258
BGD,2033,80-84,80,810.896,1001.916,1812.812
BGD,2033,85-89,85,376.084,522.273,898.356
BGD,2033,90-94,90,112.162,192.84,305.002
BGD,2033,95-99,95,17.145,41.574,58.719
BGD,2033,100+,100,1.058,4.383,5.441
BGD,2043,0-4,0,7165.024,6849.693,14014.717
BGD,2043,5-9,5,7518.632,7194.48,14713.112
BGD,2043,10-14,10,8034.246,7691.731,15725.977
BGD,2043,15-19,15,8402.565,8055.967,16458.532
BGD,2043,20-24,20,8039.336,7736.535,15775.871
BGD,2043,25-29,25,7510.632,7159.816,14670.448
BGD,2043,30-34,30,7885.122,7339.417,15224.539
BGD,2043,35-39,35,7763.861,8043.747,15807.608
BGD,2043,40-44,40,6639.983,8099.607,14739.59
BGD,2043,45-49,45,6267.658,7808.592,14076.249
BGD,2043,50-54,50,5475.994,6429.318,11905.313
BGD,2043,55-59,55,5455.88,6298.486,11754.366
BGD,2043,60-64,60,4686.581,4939.842,9626.423
BGD,2043,65-69,65,3520.553,3773.445,7293.998
BGD,2043,70-74,70,2694.339,3044.108,5738.447
BGD,2043,75-79,75,1972.565,2185.735,4158.3
BGD,2043,80-84,80,1276.771,1427.647,2704.418
BGD,2043,85-89,85,651.685,810.043,1461.728
BGD,2043,90-94,90,206.44,352.463,558.903
BGD,2043,95-99,95,37.153,86.445,123.598
BGD,2043,100+,100,2.74,10.607,13.348
BGD,2053,0-4,0,6900.993,6592.132,13493.125
BGD,2053,5-9,5,6961.497,6659.699,13621.195
BGD,2053,10-14,10,7092.056,6790.587,13882.642
BGD,2053,15-19,15,7423.977,7120.837,14544.815
BGD,2053,20-24,20,7745.632,7479.932,15225.564
BGD,2053,25-29,25,7956.766,7733.449,15690.215
BGD,2053,30-34,30,7672.927,7470.852,15143.78
BGD,2053,35-39,35,7263.751,6979.086,14242.836
BGD,2053,40-44,40,7691.708,7191.952,14883.659
BGD,2053,45-49,45,7575.172,7886.502,15461.674
BGD,2053,50-54,50,6422.058,7904.355,14326.414
BGD,2053,55-59,55,5960.698,7551.006,13511.703
BGD,2053,60-64,60,5075.787,6134.262,11210.049
BGD,2053,65-69,65,4904.983,5864.739,10769.721
BGD,2053,70-74,70,4015.656,4407.333,8422.989
BGD,2053,75-79,75,2734.896,3127.745,5862.641
BGD,2053,80-84,80,1770.331,2222.897,3993.227
BGD,2053,85-89,85,966.939,1268.743,2235.682
BGD,2053,90-94,90,373.772,551.814,925.586
BGD,2053,95-99,95,78.781,152.473,231.255
BGD,2053,100+,100,6.569,23.187,29.756
IND,2023,0-4,0,59504.265,55160.391,114664.656
IND,2023,5-9,5,62466.007,57274.751,119740.758
IND,2023,10-14,10,65911.757,60020.823,125932.58
